# idx	frame	site	CHA_resid	rst7	qm_atoms_file	n_qm
1	820	CHA#2	383	frame_00820_CHA2.rst7	frame_00820_CHA2.qmatoms	24
2	2450	CHA#2	383	frame_02450_CHA2.rst7	frame_02450_CHA2.qmatoms	24
3	4085	CHA#2	383	frame_04085_CHA2.rst7	frame_04085_CHA2.qmatoms	24
4	5680	CHA#2	383	frame_05680_CHA2.rst7	frame_05680_CHA2.qmatoms	24
5	7310	CHA#2	383	frame_07310_CHA2.rst7	frame_07310_CHA2.qmatoms	24
6	9025	CHA#2	383	frame_09025_CHA2.rst7	frame_09025_CHA2.qmatoms	24
7	10775	CHA#2	383	frame_10775_CHA2.rst7	frame_10775_CHA2.qmatoms	24
8	12485	CHA#2	383	frame_12485_CHA2.rst7	frame_12485_CHA2.qmatoms	24
9	14155	CHA#2	383	frame_14155_CHA2.rst7	frame_14155_CHA2.qmatoms	24
10	15825	CHA#2	383	frame_15825_CHA2.rst7	frame_15825_CHA2.qmatoms	24
11	17505	CHA#2	383	frame_17505_CHA2.rst7	frame_17505_CHA2.qmatoms	24
12	19185	CHA#2	383	frame_19185_CHA2.rst7	frame_19185_CHA2.qmatoms	24
