# idx	frame	prod_ps	site	CHA_resid	form_C6_C1	r	Arg90_O13
1	820	820.0	CHA#2	383	3.220	-1.737	3.130
2	2450	2450.0	CHA#2	383	3.407	-1.938	2.788
3	4085	4085.0	CHA#2	383	3.149	-1.701	2.791
4	5680	5680.0	CHA#2	383	3.032	-1.598	2.716
5	7310	7310.0	CHA#2	383	3.288	-1.801	3.145
6	9025	9025.0	CHA#2	383	3.496	-2.042	3.008
7	10775	10775.0	CHA#2	383	3.566	-2.076	3.158
8	12485	12485.0	CHA#2	383	3.461	-1.996	3.130
9	14155	14155.0	CHA#2	383	3.284	-1.876	2.920
10	15825	15825.0	CHA#2	383	3.385	-1.898	2.854
11	17505	17505.0	CHA#2	383	3.387	-1.922	2.747
12	19185	19185.0	CHA#2	383	2.990	-1.530	2.858
