K	constraint	status	ddE_unit	ddE_per_charge	ddE_budget	pct_of_K2_budget	gap	net_charge	shells
2	free	OPTIMAL	-11.3542	-5.6771	-11.3542	100.0	0.0000	+2	22
3	free	OPTIMAL	-16.4269	-5.4756	-10.9513	96.5	0.0000	+1	222
4	free	OPTIMAL	-21.4658	-5.3665	-10.7329	94.5	0.0000	+0	2222
5	free	OPTIMAL	-25.1518	-5.0304	-10.0607	88.6	0.0000	+1	22222
6	free	OPTIMAL	-28.8240	-4.8040	-9.6080	84.6	0.0000	+2	222222
7	free	OPTIMAL	-32.3870	-4.6267	-9.2534	81.5	0.0000	+1	2222222
8	free	OPTIMAL	-35.8961	-4.4870	-8.9740	79.0	0.0000	+0	22222222
2	neutral	OPTIMAL	-10.8879	-5.4440	-10.8879	100.0	0.0000	+0	22
3	neutral	INFEASIBLE_ODD							
4	neutral	OPTIMAL	-21.4658	-5.3665	-10.7329	98.6	0.0000	+0	2222
5	neutral	INFEASIBLE_ODD							
6	neutral	OPTIMAL	-28.7148	-4.7858	-9.5716	87.9	0.0000	+0	222222
7	neutral	INFEASIBLE_ODD							
8	neutral	OPTIMAL	-35.8961	-4.4870	-8.9740	82.4	0.0000	+0	22222222
